From;To;Type;Through;Data;Comment
#
# American Straits
#
13;14;sea;3011;0;Vancouver Crossing
14;78;sea;3011;0;Vancouver Crossing
62;75;sea;2946;0;Straits of Belle Isle
68;70;sea;2944;0;Cabot Strait
#2237;2269;sea;2975;0;Strait of Trinidad
2334;2335;sea;2992;0;Strait of Magellan
2399;2400;sea;2992;0;Strait of Magellan
77;74;sea;2944;0;Cabot Strait
72;73;sea;2944;0;Nova Scotia to Cape Breton
2237;2238;sea;2975;0;Trinidad-Tobago Strait
2233;2409;sea;2975;0;Grenada-St. Vincent Strait
2229;2409;sea;2975;0;Barbados-St. Vincent Strait
2231;2409;sea;2975;0;St. Lucia-St. Vincent Strait
#2231;2228;sea;2976;0;St. Lucia-Martinique Strait - STOP IT UK
#2232;2228;sea;2976;0;Dominica-Martinique Strait - STOP IT UK
#2232;2230;sea;2976;0;Dominica-Guadeloupe Strait - STOP IT UK
#2225;2230;sea;2976;0;Montserrat-Guadeloupe Strait - STOP IT UK
2225;2224;sea;2976;0;Montserrat-Antigua Strait
2225;2227;sea;2976;0;Montserrat-St. Kitts Strait
2236;3246;sea;2976;0;St. Martin-St. Barths Strait
2227;3246;sea;2976;0;St. Kitts-St. Barths Strait
2223;2226;sea;2976;0;St. Thomas-Tortola Strait
2226;2222;sea;2976;0;Puerto Rico-Tortola Strait
2219;2220;sea;2977;0;Bahamas-Turks & Caicos Strait
2204;2206;sea;3001;0;Panama strait
5;4;sea;3134;0;Aleutian Island-Dutch Harbor Strait

#
# African Straits
#
2036;2048;sea;2901;0;Zanzibar Strait
2123;2124;sea;2902;0;Comoros-Mayotte
1772;1756;sea;2781;0;Suez strait
1772;1757;sea;2781;0;Sub Suez Strait

#
# European Straits
#
254;271;sea;2737;0;Irish Strait
324;348;sea;2706;0;Aland Strait #Uppsala to Aland #these were in V1
334;372;sea;2711;0;resund
335;374;sea;2710;0;Bornholmsfrjan
348;345;sea;2706;0;Aland Strait #Aland to Turku 
353;349;sea;2709;0;selsund
353;358;sea;2709;0;Strait of Riga
372;373;sea;2711;0;Fyn-Sjaelland
371;373;sea;2711;0;Fyn-Jylland
2557;373;sea;2711;0;Fyn-Esbjerg
375;385;sea;2722;0;Bay of Holland
473;766;sea;2751;0;Sassari Strait
826;824;sea;2764;0;Corfu Strait
826;853;sea;2764;0;Corfu Strait
838;845;sea;2772;0;Cyclades Strait
838;834;sea;2772;0;Athens - Khakhis Strait
843;869;sea;2772;0;Izmir Strait
859;865;sea;2773;0;Dardanelles Strait
860;861;land;2773;0;Golden Horn
759;763;sea;2760;0;Strait of Messina
759;763;sea;2757;0;Strait of Messina
837;827;sea;2765;0;Ionian Islands Strait
966;1049;sea;2776;0;Strait of Azov
512;1686;sea;2746;0;Strait of Gibraltar - Cadiz to Tangiers
846;872;sea;2771;0;Dodecanese Strait
844;865;sea;2772;0;Myteline Strait
271;304;sea;2737;0;Irish Strait
254;304;sea;2737;0;Irish Strait
267;1724;sea;2735;0;Inverness - Orkney Strait
780;782;land;2762;0;Mostar Bay
301;400;sea;2724;0;UK - France Strait
343;349;sea;2707;0;Finland-Estonia
418;415;sea;3321;0;Caen-Rouen
416;415;sea;3321;0;Caen-Evereux
416;2570;sea;3321;0;Caen-Beau
425;427;sea;3321;0;Paris-Melun
425;2570;sea;3321;0;Paris-Beau
438;427;sea;3321;0;Orleans-Melun
408;406;sea;3321;0;Chalons-Troyes
407;406;sea;3321;0;Chaumont-Troyes
427;406;sea;3321;0;Melun-Troyes
407;429;sea;3321;0;Chaumont-Auxerre
378;376;sea;3321;0;Middelburg-Rotterdam
378;377;sea;3321;0;Middelburg-Utrect
380;377;sea;3321;0;Breda-Utrect
380;382;sea;3321;0;Breda-Arnhem
379;382;sea;3321;0;Eindhoven-Arnhem
577;581;sea;3321;0;Cleves-Munster
577;578;sea;3321;0;Cleves-Dusseldorf
575;2561;sea;3321;0;Cologne-Siegburg
